FID,Type,Installation_time,condition,Feet_used,geom
Paint_School_Crosswalks.65,Paint,09/04/08, , ,POINT (1350807.8261008204 551972.4053704547)
Paint_School_Crosswalks.66,Paint,09/04/08, , ,POINT (1349378.1622501744 551371.2734258841)
Paint_School_Crosswalks.67,Paint,09/04/08, , ,POINT (1350567.8415854613 552841.0322504378)
Paint_School_Crosswalks.68,Paint,09/04/08, , ,POINT (1351558.8020354689 553100.332592643)
Paint_School_Crosswalks.69,Paint,09/04/08, , ,POINT (1351292.1850921856 553527.3294315565)
Paint_School_Crosswalks.70,Paint,09/04/08, , ,POINT (1351121.5619550461 553934.1324514947)
Paint_School_Crosswalks.71,Paint,09/04/08, , ,POINT (1350802.265484001 552371.8917893148)
Paint_School_Crosswalks.72,Themo,09/03/08, , ,POINT (1341434.3821277411 560632.9197344913)
Paint_School_Crosswalks.73,Themo,09/03/08, , ,POINT (1347417.0204972206 565487.0455536962)
Paint_School_Crosswalks.74,Themo,09/03/08, , ,POINT (1345766.9806221044 567708.9509690708)
Paint_School_Crosswalks.75,Themo,11/17/08, , ,POINT (1330520.0619676295 602664.1589513568)
Paint_School_Crosswalks.76,Themo,11/19/08, , ,POINT (1330361.7307203012 603071.2546353381)
Paint_School_Crosswalks.77,Themo,07/14/09, , ,POINT (1358202.2758143155 561414.3327296244)
Paint_School_Crosswalks.78,Themo,10/08/09, , ,POINT (1346231.7311225804 564510.7183058445)
Paint_School_Crosswalks.79,Themo,10/08/09, , ,POINT (1346207.7326710445 564322.2426620746)
Paint_School_Crosswalks.80,Themo,10/08/09, , ,POINT (1346350.5527240876 564492.573135171)
Paint_School_Crosswalks.81,Themo,10/13/09, , ,POINT (1359919.9210833928 591305.5747737876)
Paint_School_Crosswalks.82,Themo,07/21/10, , ,POINT (1356501.6050597394 562984.7679850116)
Paint_School_Crosswalks.83,Themo,08/19/10, , ,POINT (1353913.8695904636 536573.8867416432)
Paint_School_Crosswalks.84,Themo,12/29/10, , ,POINT (1344205.6179520537 563974.85044289)
Paint_School_Crosswalks.85,Themo,12/29/10, , ,POINT (1344200.3499992776 563960.8025688202)
Paint_School_Crosswalks.86,Themo,12/29/10, , ,POINT (1344206.495944183 563906.0743927566)
Paint_School_Crosswalks.87,Paint,12/29/10, , ,POINT (1343738.8188032757 564966.3962209839)
Paint_School_Crosswalks.88,Themo,12/29/10,Chips, ,POINT (1374162.124077833 556428.8007550581)
Paint_School_Crosswalks.89,Themo,12/29/10, , ,POINT (1373118.1914360204 556648.0061233557)
Paint_School_Crosswalks.90,Themo,12/29/10,Chips, ,POINT (1373073.12117338 556659.7126850806)
Paint_School_Crosswalks.91,Themo,12/29/10,Chips, ,POINT (1372089.184660407 556959.1080011934)
Paint_School_Crosswalks.92,Themo,12/29/10,Chips, ,POINT (1372538.4239665978 552910.3936286574)
Paint_School_Crosswalks.93,Themo, , , ,POINT (1364778.4368632445 566951.2437614305)
Paint_School_Crosswalks.94,Themo, , , ,POINT (1364270.0794203433 567103.1363998103)
Paint_School_Crosswalks.95,Paint, ,Chips,6,POINT (1358384.0201850939 555134.0550282908)
Paint_School_Crosswalks.96,Themo, ,Chips,6,POINT (1356536.724744914 555675.7761721078)
Paint_School_Crosswalks.97,Themo, ,Chips,6,POINT (1357880.3453668824 554635.0628347695)
Paint_School_Crosswalks.98,Paint, ,Chips,6,POINT (1358384.0201850939 555134.0550282908)
Paint_School_Crosswalks.99,Themo, , ,6,POINT (1356112.3618823886 562925.0645202149)
Paint_School_Crosswalks.100,Themo, , ,6,POINT (1361399.3378213693 560805.2988558896)
Paint_School_Crosswalks.101,Themo, , ,6,POINT (1361406.6544224473 560814.0787771832)
Paint_School_Crosswalks.102,Themo, ,Faded,6,POINT (1361152.9146970615 560560.3390517973)
Paint_School_Crosswalks.103,Paint, ,Chips,6,POINT (1361028.239814692 560384.4479618815)
Paint_School_Crosswalks.104,Paint, ,Chips,6,POINT (1361008.0459957167 560372.7414001568)
Paint_School_Crosswalks.105,Themo, ,Chips,6,POINT (1365475.2699499156 561104.1088439161)
Paint_School_Crosswalks.106,Themo, ,Chips,6,POINT (1365544.3386640921 561106.4501562611)
Paint_School_Crosswalks.107,Themo,08/09/11, , ,POINT (1333752.8289879442 555309.3607901203)
Paint_School_Crosswalks.108,Themo,03/27/12,Chips,1000,POINT (1349669.655637123 596063.4141228058)
Paint_School_Crosswalks.109,Themo,03/08/12,Faded,1000,POINT (1352177.4938226268 550881.3538176996)
Paint_School_Crosswalks.110,Themo,05/31/12,Faded,60,POINT (1377790.8655484903 570210.350545626)
Paint_School_Crosswalks.111,Themo,06/04/12,Chips,1000,POINT (1332508.7141406368 555416.1831658594)
Paint_School_Crosswalks.112,Themo,04/11/13,,270,POINT (1376679.0348486737 570783.3867420569)
