FID,POWER,ADDRESS,SIGNS,S1_1,SPEED,geom
School_Flashing_Signs.117,electric,,25 fines dbl w/flash,,25,POINT (1361187.1563901068 584680.5388296576)
School_Flashing_Signs.118,solar,,25 fines dbl w/flash,,25,POINT (1348986.8704245216 550460.5029236915)
School_Flashing_Signs.119,solar,,25 fines dbl w/flash,,25,POINT (1348037.175604594 550554.7407455766)
School_Flashing_Signs.120,solar,,S1-1/fines dbl flash,,25,POINT (1359964.4060179472 587483.3823706274)
School_Flashing_Signs.121,solar,,S1-1/fines dbl flash,,25,POINT (1359823.927277249 588239.3335940089)
School_Flashing_Signs.122,solar,,25 fines dbl w/flash,,25,POINT (1305252.3264766918 596175.211787278)
School_Flashing_Signs.123,electric,,35 fines dbl w/flash,,40,POINT (1306415.666048098 594931.6822680569)
School_Flashing_Signs.124,electric,,35 fines dbl w/flash,,40,POINT (1305550.5511366322 593118.043192836)
School_Flashing_Signs.125,solar,,S1-1/fines dbl flash,,25,POINT (1361486.5517062196 578962.4687551595)
School_Flashing_Signs.126,solar,,S1-1/fines dbl flash,,25,POINT (1360814.8877272569 580267.7503874792)
